t,s
-2.011499999999998067e+01,1.678703715928180906e-01
-1.936999999999997613e+01,1.582269675679265630e-01
-1.862500000000000000e+01,1.488621317408319600e-01
-1.787999999999999545e+01,1.397862843322310311e-01
-1.713499999999999091e+01,1.310095940236583600e-01
-1.638999999999998636e+01,1.225420036438376048e-01
-1.564499999999998181e+01,1.143932530416748028e-01
-1.489999999999997726e+01,1.065728966569346597e-01
-1.415499999999997272e+01,9.909030957173893539e-02
-1.340999999999999659e+01,9.195417815231274328e-02
-1.266499999999999204e+01,8.525371179446492031e-02
-1.191999999999998749e+01,7.902428322071815281e-02
-1.117499999999998295e+01,7.309095364249539040e-02
-1.042999999999997840e+01,6.747440880369671989e-02
-9.684999999999973852e+00,6.217352400643146731e-02
-8.939999999999997726e+00,5.718719251235375445e-02
-8.194999999999993179e+00,5.251386213538290076e-02
-7.449999999999988631e+00,4.815096253473065413e-02
-6.704999999999984084e+00,4.409440899982829815e-02
-5.959999999999979536e+00,4.033820091319374052e-02
-5.214999999999974989e+00,3.687413237044354780e-02
-4.469999999999998863e+00,3.381120893329487426e-02
-3.724999999999994316e+00,3.108623460097829569e-02
-2.979999999999989768e+00,2.862756276820255935e-02
-2.234999999999985221e+00,2.675248567211406178e-02
-1.489999999999980673e+00,2.987690596123439637e-02
-7.449999999999761258e-01,3.332321916435945081e-02
0.000000000000000000e+00,3.711189285380564473e-02
7.450000000000045475e-01,4.126335318231398597e-02
1.490000000000009095e+00,4.579781879577656672e-02
2.235000000000013642e+00,5.073511061980553322e-02
2.980000000000018190e+00,5.609443442318685219e-02
3.725000000000022737e+00,6.189413262627320444e-02
4.470000000000027285e+00,6.815140134900274371e-02
5.215000000000003411e+00,7.488196817287698370e-02
5.960000000000007958e+00,8.209972551427058285e-02
6.705000000000012506e+00,8.981631386522351268e-02
7.450000000000017053e+00,9.804064844968021775e-02
8.195000000000021600e+00,1.067783820729405336e-01
8.940000000000026148e+00,1.160312961252012165e-01
9.685000000000002274e+00,1.257966108650171166e-01
1.043000000000000682e+01,1.360662053006694572e-01
1.117500000000001137e+01,1.468257363165683393e-01
1.192000000000001592e+01,1.580536596055622245e-01
1.266500000000002046e+01,1.697303935577742506e-01
1.341000000000002501e+01,1.820873679167848147e-01
1.415500000000000114e+01,1.946164347534615757e-01
1.490000000000000568e+01,2.075394460696506627e-01
1.564500000000001023e+01,2.208504652403130153e-01
1.639000000000001478e+01,2.345413499639885935e-01
1.713500000000001933e+01,2.486032412694303140e-01
1.788000000000002387e+01,2.630265288506062338e-01
1.862500000000000000e+01,2.778008103547663921e-01
1.937000000000000455e+01,2.929148513945419863e-01
2.011500000000000909e+01,3.083565463611465107e-01
2.086000000000001364e+01,3.241128801026477158e-01
2.160500000000001819e+01,3.401698905627711378e-01
2.235000000000002274e+01,3.565126325237608640e-01
2.309500000000002728e+01,3.731251426581682629e-01
2.384000000000000341e+01,3.899904061631455088e-01
2.458500000000000796e+01,4.070903253191661131e-01
2.533000000000001251e+01,4.244056903749949261e-01
2.607500000000001705e+01,4.419161532049999397e-01
2.682000000000002160e+01,4.597339868104631244e-01
2.756500000000002615e+01,4.780569719377251725e-01
2.831000000000000227e+01,4.965515184232541790e-01
2.905500000000000682e+01,5.151938322184234087e-01
2.980000000000001137e+01,5.339587886296193187e-01
3.054499999999998749e+01,5.528199173740014905e-01
3.128999999999999204e+01,5.717493928493834199e-01
3.203499999999999659e+01,5.907180299823261427e-01
3.278000000000000114e+01,6.096952859943453040e-01
3.352500000000000568e+01,6.286492684198464742e-01
3.427000000000001023e+01,6.475467497235586345e-01
3.501500000000001478e+01,6.663531888986520269e-01
3.576000000000001933e+01,6.850327604746410115e-01
3.650500000000002387e+01,7.035483914188623844e-01
3.725000000000002842e+01,7.218618064672910339e-01
3.799500000000003297e+01,7.399335824598168854e-01
3.874000000000003752e+01,7.577232122731983877e-01
3.948499999999998522e+01,7.751891789355473961e-01
4.022999999999998977e+01,7.922890404666911301e-01
4.097499999999999432e+01,8.089795259202736677e-01
4.171999999999999886e+01,8.252166430107316097e-01
4.246500000000000341e+01,8.409557975987947964e-01
4.321000000000000796e+01,8.561519251917473206e-01
4.395500000000001251e+01,8.707596344979495750e-01
4.470000000000001705e+01,8.847333629657933018e-01
4.544500000000002160e+01,8.980275441390166424e-01
4.619000000000002615e+01,9.105967865728527011e-01
4.693500000000003070e+01,9.223960639748224333e-01
4.768000000000003524e+01,9.333809161529892373e-01
4.842500000000003979e+01,9.435076602647600730e-01
4.916999999999998749e+01,9.527336117531496340e-01
4.991499999999999204e+01,9.611304701857351640e-01
5.065999999999999659e+01,9.698084314502012360e-01
5.140500000000000114e+01,9.774778065192933907e-01
5.215000000000000568e+01,9.840948984236653763e-01
5.289500000000001023e+01,9.896176979052619949e-01
5.364000000000001478e+01,9.940061508113039457e-01
5.438500000000001933e+01,9.972224318493663198e-01
5.513000000000002387e+01,9.992312236280075366e-01
5.587500000000002842e+01,1.000000000000000000e+00
5.662000000000003297e+01,9.994993129449115665e-01
5.736500000000003752e+01,9.977030825983987938e-01
5.810999999999998522e+01,9.945888905707827021e-01
5.885499999999998977e+01,9.901382773973261830e-01
5.959999999999999432e+01,9.843370458107175702e-01
6.034499999999999886e+01,9.771755724886046490e-01
6.109000000000000341e+01,9.686491319546443046e-01
6.183500000000000796e+01,9.587582373350646003e-01
6.258000000000001251e+01,9.475090036185979114e-01
6.332500000000001705e+01,9.349135398559469401e-01
6.407000000000002160e+01,9.209903772877859884e-01
6.481500000000002615e+01,9.057649406380814394e-01
6.556000000000003070e+01,8.892700696956281625e-01
6.630500000000003524e+01,8.715465977892044025e-01
6.705000000000003979e+01,8.526439928100956189e-01
6.779499999999998749e+01,8.326210650203322849e-01
6.853999999999999204e+01,8.115467439565615670e-01
6.928499999999999659e+01,7.895009241950978751e-01
7.003000000000000114e+01,7.665753763748001104e-01
7.077500000000000568e+01,7.428747152919802366e-01
7.152000000000001023e+01,7.185174104137307394e-01
7.226500000000001478e+01,6.936368147158626929e-01
7.301000000000001933e+01,6.683821736818734704e-01
7.375500000000002387e+01,6.454568299952497812e-01
7.450000000000002842e+01,6.240281986805524816e-01
7.524500000000003297e+01,6.031843690434229854e-01
7.599000000000003752e+01,5.831383658118214353e-01
7.673499999999998522e+01,5.687834337762699422e-01
7.747999999999998977e+01,5.561939257988830487e-01
7.822499999999999432e+01,5.450643209820937862e-01
7.896999999999999886e+01,5.354897469600818916e-01
7.971500000000000341e+01,5.275268408214395244e-01
8.046000000000000796e+01,5.246871730009540213e-01
8.120500000000001251e+01,5.230983246957799926e-01
8.195000000000001705e+01,5.226194870552715033e-01
8.269500000000002160e+01,5.231041437885750600e-01
8.344000000000002615e+01,5.243857218969648626e-01
8.418500000000003070e+01,5.262855694954527985e-01
8.493000000000003524e+01,5.286210216534112938e-01
8.567500000000003979e+01,5.312130149366309784e-01
8.641999999999998749e+01,5.338928584039429603e-01
8.716499999999999204e+01,5.365079217760370112e-01
8.790999999999999659e+01,5.389261326778055361e-01
8.865500000000000114e+01,5.410392708410225460e-01
8.940000000000000568e+01,5.427651065339333947e-01
9.014500000000001023e+01,5.440484593774582711e-01
9.089000000000001478e+01,5.448612614316539204e-01
9.163500000000001933e+01,5.452017044926483758e-01
9.238000000000002387e+01,5.450925440498612939e-01
9.312500000000002842e+01,5.445786275414034039e-01
9.387000000000003297e+01,5.437237167632482659e-01
9.461500000000003752e+01,5.426066861484561965e-01
9.535999999999998522e+01,5.413172010201258155e-01
9.610499999999998977e+01,5.399510118035445450e-01
9.684999999999999432e+01,5.386050383283154108e-01
9.759499999999999886e+01,5.386716145003427325e-01
9.834000000000000341e+01,5.390674101429042686e-01
9.908500000000000796e+01,5.396802801095139657e-01
9.983000000000001251e+01,5.405611464540247546e-01
1.005750000000000171e+02,5.417435491131259440e-01
1.013200000000000216e+02,5.432421144802177526e-01
1.020650000000000261e+02,5.450522552504124540e-01
1.028100000000000307e+02,5.471510759866329288e-01
1.035550000000000352e+02,5.494993613830752022e-01
1.043000000000000398e+02,5.520444428482133015e-01
1.050449999999999875e+02,5.547236841393470286e-01
1.057899999999999920e+02,5.574683031185997395e-01
1.065349999999999966e+02,5.602072531181176984e-01
1.072800000000000011e+02,5.628709180849803539e-01
1.080250000000000057e+02,5.653944222896644112e-01
1.087700000000000102e+02,5.677204092960529414e-01
1.095150000000000148e+02,5.698011988520259585e-01
1.102600000000000193e+02,5.716002793426439021e-01
1.110050000000000239e+02,5.730931347546974752e-01
1.117500000000000284e+02,5.742674379522022532e-01
1.124950000000000330e+02,5.751226669645025380e-01
1.132400000000000375e+02,5.756692191026280270e-01
1.139849999999999852e+02,5.759271103507368483e-01
1.147299999999999898e+02,5.759243557396914737e-01
1.154749999999999943e+02,5.756951310440152625e-01
1.162199999999999989e+02,5.752778174928243615e-01
1.169650000000000034e+02,5.747130292528296325e-01
1.177100000000000080e+02,5.740417180283589049e-01
1.184550000000000125e+02,5.733034400053752533e-01
1.192000000000000171e+02,5.725348574789373979e-01
1.199450000000000216e+02,5.717685311002539406e-01
1.206900000000000261e+02,5.710320394324945870e-01
1.214350000000000307e+02,5.703474415181594148e-01
1.221800000000000352e+02,5.697310768886294507e-01
1.229250000000000398e+02,5.691936775220360900e-01
1.236699999999999875e+02,5.687407492684042332e-01
1.244149999999999920e+02,5.683731675262467808e-01
1.251599999999999966e+02,5.680879243248639909e-01
1.259050000000000011e+02,5.678789617246686738e-01
1.266500000000000057e+02,5.677380292995035660e-01
1.273950000000000102e+02,5.676555106217043845e-01
1.281400000000000148e+02,5.676211739988824556e-01
1.288850000000000193e+02,5.676248149100008300e-01
1.296300000000000239e+02,5.676567703608031978e-01
1.303750000000000284e+02,5.677082975729575987e-01
1.311200000000000330e+02,5.677718201239422280e-01
1.318650000000000375e+02,5.678410532380098186e-01
1.326099999999999852e+02,5.679110260568938084e-01
1.333549999999999898e+02,5.679780223252434146e-01
